Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,AUT,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,25.91540236,27.61209086,27.90387549,31.10847724,31.61915691,31.41366145,33.8517494,33.32242332,33.47394154,34.56544371,34.99663509,35.41600129,35.70513024,35.57299535,36.27470207,36.85558376,37.16994187,35.75346368,35.59127017,36.04260989,36.69714892,38.75647183,38.67491633,48.71840155,48.73865514,47.52280264,47.25099659,47.10873523,46.26378844,46.61558223,45.97290619,46.03612417,48.60700877,45.91237872,45.18809616,43.97791491,44.57424382,47.84835318,46.42680971,45.50768704,46.14504855,46.62162229,47.50118769,46.268451,44.99678489,44.32988711,43.72471037,43.59882793,50.55374479,50.07795106,47.88705562,
Azerbaijan,AZE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19765145,19.82696598,15.80794115,16.22137226,18.76784863,19.00954147,,,,,,,,,18.50776835,23.07880286,20.87248322,18.47836105,22.18538389,20.92554398,22.10098942,24.78870908,27.19593812,27.95873058,21.4022624,24.28433798,33.93147657,27.1444135,,
Burundi,BDI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01621535,20.7437947,24.54365969,23.5190672,19.92516,17.03078677,18.26400233,18.98775612,18.06022178,,,,,,,,,,,21.42022921,19.99929776,17.93810078,17.01647042,16.93740581,18.60322841,17.60448111,17.69484788,,16.6189077,17.67368864,15.12404492,,
Belgium,BEL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.57281113,45.93762294,44.69738043,44.42120712,43.81282304,42.63485251,43.03718503,41.44360652,42.55644199,40.89893629,43.53091367,40.59341568,40.29353449,42.10135181,44.39872336,43.57957163,44.84110075,45.91315796,45.54207392,45.17198743,41.59458068,41.00677238,39.95552411,39.89309441,39.46578083,43.96143878,41.24764891,40.24629849,
Benin,BEN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.943939225,9.306384708,10.17953258,10.20433698,11.27531255,12.31298231,10.76150606,11.22878317,10.59459686,11.03589578,12.92144575,12.33366499,12.87873518,13.19749344,14.70982126,18.48979056,17.37074183,18.21742884,17.1792424,18.23069039,20.81629236,
Bangladesh,BGD,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.852792471,7.887123728,7.836050278,7.604976598,8.14262834,8.334937302,8.662793141,9.428781171,9.871583603,9.266251067,9.843884578,9.638538733,9.507119611,9.504436491,9.00588487,7.862768135,7.639874368,7.494145018,8.272315877,8.148320246,8.324251342,,
Bulgaria,BGR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.51548559,39.37288136,39.54880478,43.68350619,43.71518265,27.96961927,32.06952096,25.77988107,30.38556483,34.42140331,33.99966151,33.8702994,33.24770834,34.96609018,34.23217478,31.47271937,29.64605048,32.82545408,31.84471618,33.85870316,31.65148478,29.86993271,30.9398645,32.95088765,37.99990203,34.34870484,32.09212379,32.05380986,33.09646123,33.06146541,36.68532607,37.91667222,39.48342072,
Bahrain,BHR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.30267422,21.76743241,22.91704267,22.99746628,22.20713459,20.56505724,19.55342072,20.00001989,21.05703358,21.17140878,19.9022787,20.84117272,23.18167201,20.86630341,19.36915255,17.31359839,16.28994264,16.00542441,16.21776504,19.76249801,19.46755287,22.50323471,21.72366278,23.35512357,24.4867283,26.46659239,25.74138343,23.65397798,23.51975508,22.76318256,27.02537328,,,
"Bahamas, The",BHS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.61086545,17.46293987,18.08298488,17.43208279,17.13715864,17.36949548,18.25713494,11.23879565,10.70954835,10.32943035,10.25943265,10.42339168,10.38940859,11.26256893,11.27845712,11.35769911,11.66354717,11.86754238,12.77773133,14.24334499,15.3934155,16.55929666,16.35481816,16.37414132,16.03402855,16.29710246,18.09390721,20.07762572,17.66476165,18.84410965,26.89225786,26.11274194,23.61703933,
